Kancelaria Radców Prawnych VIS LEGIS Maciej Łapka & Artur Prymicz s.c.;Zawale 24<br>42-500 Będzin;
Kancelaria Adwokacka Adwokat Mateusz Pieczka;Św. Wawrzyńca 39/2<br>31-052 Kraków;m.pieczka@krakow-adwokat.com
Marzena Dyduch Kancelaria Radcy Prawnego;31-516 Kraków<br>Mogilska 16/8;biuro@kancelariadyduch.pl
AGACKA Katarzyna adwokat - Kancelaria Adwokacka;Sokolska 14/6<br>40-086 Katowice woj. śląskie;kancelaria@adwokat-agacka.pl; katarzyna.agacka@adwokatura.pl
Kancelaria Adwokacka Gabriela Grzywacz;Sokolska 80/106<br>40-087 Katowice;kancelaria@adwokatgrzywacz.pl
Kancelaria Adwokacka Adwokat Jakub Lisicki;Warszawska 153 lok. 213<br>43-300 Bielsko-Biała ;kancelaria@lisicki.com
Kancelaria Radcy Prawnego Małgorzata Hirszberg;Wojewódzka 25 lok. 16<br>40-026 Katowice;kancelaria@hirszberg.pl
Jolanta Mietelska - Kancelaria Radcy Prawnego;Al.N. m. P. 1 lok. 2<br>42-202 Częstochowa;kancelaria.mietelska@gmail.com
OMNIA Kancelaria Prawna;Rynek Debnicki 6/1<br>30-319 Kraków;biuro@omnia-kancelaria.pl 
dr Izabela Dzierwa-Pabin Kancelaria Adwokacka;os. Dywizjonu 303 17/6<br>31-872 Kraków;
Kancelaria Adwokacka Adwokat Karolina Drwięga-Waliczek;Górnych Wałów 52/5<br>44-100 Gliwice;kancelaria@kdw-adwokat.pl
Kancelaria Adwokacka adwokat Przemysław Karoń;Dąbrowskiego 20/3<br>42-200 Częstochowa ;kancelaria@karonprawo.pl
Kancelaria Radcy Prawnego Magdalena Rybiałek UniLegal;Dworcowa 19<br>44-300 Jastrzębie-Zdrój;
Kancelaria Adwokacka Adwokat Anita Pawlik-Zelek;Niedurnego 48<br>41-709 Ruda Śląska;
MG Legal Kancelaria Radcy Prawnego Magdalena Golonka;Zaleskiego 3/4<br>31-525 Kraków;kancelaria@mglegal.pl
Kancelaria Adwokacka Adwokat Sebastian Rolicz;Przedszkolna 6/1<br>41-712 Ruda Śląska;rolicz@adwokat-slask.com
DKK Kancelaria Radcy Prawnego Katarzyna Chachlowska;Kordiana 14/10<br>30-653 Kraków;biuro@dkk-kancelaria.pl
Kancelaria Adwokacka Marzena Korzeniewska-Gajewska;Budowlanych 35<br>43-100 Tychy ;mk@adwokat-korzeniewska.pl
Kancelaria Radcy Prawnego Stanisław Wyląg;Jana Pawła II 12<br>41-100 Siemianowice Śląskie;sekretariat@kancelaria-wylag.com  
Kancelaria Radców Prawnych Palowski, Pelc s.c.;Wolności 14<br>41-500 Chorzów ;krp.palowski.pelc@gmail.com
Adwokat Rafał Radłowski Kancelaria Adwokacka;Oświęcimska 118<br>41-707 Ruda Śląska;
Kancelaria Radcy Prawnego Andrzej Molik;Cyganerii 37/5<br>43-100 Tychy;kancelaria@radcaprawny-tychy.pl;andrzej.molik@poczta.fm
